feature,spread_standardized,total_standardized
home_off_pass_epa,1.9335771512943805,1.389285230936608
home_def_pass_epa,-1.5501017395188874,0.19918284144981468
home_off_rush_epa,0.3428819075811861,0.2823897617249539
home_def_rush_epa,-0.4909450963095644,-0.17676660243350442
home_off_pass_success_rate,0.6087279749944052,0.4401649916747783
home_def_pass_success_rate,-0.04892582593070201,0.2647952177440326
home_off_rush_success_rate,0.8322191366873891,-0.30453491679817163
home_def_rush_success_rate,-0.15135160661078337,0.5644604194736798
away_off_pass_epa,-1.045702154534048,0.7942778725696217
away_def_pass_epa,0.911856096944405,0.3242676640057808
away_off_rush_epa,-0.8019070339132204,-0.03326329852599395
away_def_rush_epa,0.6708469508829433,0.2253313131194329
away_off_pass_success_rate,-1.3824455892715541,0.8011554588056381
away_def_pass_success_rate,-0.2045371150749649,0.422983234115359
away_off_rush_success_rate,-0.5480389701622977,0.4494493283889447
away_def_rush_success_rate,-0.011567993278008028,-0.1815985160736661
rest_difference,0.263893369197573,0.12999221392552687
