feature,spread_standardized,total_standardized
home_off_pass_epa,1.9558188477611436,1.5032416911465305
home_def_pass_epa,-1.3643289848000308,0.14532281704811034
home_off_rush_epa,0.2504961269086508,0.32548811108876474
home_def_rush_epa,-0.45462645073946273,-0.2920637586289954
home_off_pass_success_rate,0.6177625382172299,0.5153551369221501
home_def_pass_success_rate,-0.17386288517777623,0.3453409756180204
home_off_rush_success_rate,0.9100826246179924,-0.34278222078446985
home_def_rush_success_rate,-0.3268452781319335,0.7442053270240261
away_off_pass_epa,-1.059202182028052,0.7455779932276001
away_def_pass_epa,0.940124769665694,0.27152700193314216
away_off_rush_epa,-0.7329828854969397,-0.11710344161820399
away_def_rush_epa,0.7413083716145149,0.27456055679152563
away_off_pass_success_rate,-1.451211688122731,0.7746245778483982
away_def_pass_success_rate,-0.11705840368475116,0.5062226857212972
away_off_rush_success_rate,-0.3976409291574627,0.4555564536732136
away_def_rush_success_rate,-0.08948237257874166,-0.16572082054821302
rest_difference,0.26558763395544893,0.21470619161895002
