season,rows,half_life,prior_strength,spread_ridge_alpha,spread_market_alpha,spread_raw_rmse,spread_final_rmse,spread_market_rmse,total_ridge_alpha,total_market_alpha,total_raw_rmse,total_final_rmse,total_market_rmse
2012,210,2.0,0.5,100.0,0.0,14.825033490157304,14.089805500702239,14.089805500702239,100.0,0.0,14.077312948804332,13.213674374533015,13.213674374533015
2013,210,4.0,0.25,100.0,0.0,13.35094961492195,12.554215759390681,12.554215759390681,100.0,0.0,14.685691767492177,14.131862007871566,14.131862007871566
2014,212,4.0,0.25,100.0,0.0,15.116719270676267,14.415212418018813,14.415212418018813,100.0,0.0,13.325912114989576,12.881993429472828,12.881993429472828
2015,210,4.0,0.5,100.0,0.0,13.751201468916495,13.175690096682205,13.175690096682205,100.0,0.0,13.691533588814554,13.421287284793229,13.421287284793229
2016,225,4.0,0.5,100.0,0.0,12.68284567689168,11.955008248521715,11.955008248521715,100.0,0.0,13.05264762659017,12.390273963431515,12.390273963431515
2017,238,4.0,0.5,100.0,0.0,14.272611594972087,13.293511085292325,13.293511085292325,100.0,0.0,14.583334631166856,14.344867029151354,14.344867029151354
2018,240,4.0,0.5,100.0,0.0,13.73893022430184,13.117775789617182,13.117775789617182,100.0,0.0,14.259373573219493,13.26916852456601,13.26916852456601
2019,240,4.0,0.5,100.0,0.0,14.215479276619204,13.074187355243154,13.074187355243154,100.0,0.0,13.951344343047056,13.606753837708684,13.606753837708684
2020,255,4.0,0.5,100.0,0.0,13.669981982286057,12.795641108305164,12.795641108305164,100.0,0.0,13.542098420137446,12.835726794885483,12.835726794885483
2021,272,4.0,0.5,100.0,0.0,14.548489183140207,13.669180932043485,13.669180932043485,100.0,0.0,13.576670645830264,13.281559252454908,13.281559252454908
2022,271,4.0,0.5,100.0,0.0,11.694042582356655,11.432861938435233,11.432861938435233,100.0,0.0,13.635905198204192,13.227919707142078,13.227919707142078
2023,272,4.0,0.5,100.0,0.0,14.24988449443363,13.07072109716981,13.07072109716981,100.0,0.0,13.558378767172634,13.130146049991891,13.130146049991891
2024,272,4.0,0.5,100.0,0.0,13.231192264150375,12.6051460079744,12.6051460079744,100.0,0.0,12.950447733738288,12.551548123403649,12.551548123403649
