season,rows,half_life,prior_strength,spread_ridge_alpha,spread_market_alpha,spread_raw_rmse,spread_final_rmse,spread_market_rmse,total_ridge_alpha,total_market_alpha,total_raw_rmse,total_final_rmse,total_market_rmse
2012,256,4.0,0.5,100.0,0.0,14.782962732662128,14.020875897657037,14.020875897657037,100.0,0.0,13.947718688611157,13.233148186939493,13.233148186939493
2013,256,4.0,0.25,100.0,0.0,13.41592641076602,12.679993160980016,12.679993160980016,100.0,0.0,14.52374249649219,14.012863788765664,14.012863788765664
2014,256,4.0,0.25,100.0,0.0,15.107116634496636,14.481062525761015,14.481062525761015,100.0,0.0,13.415013113563399,13.060182210635501,13.060182210635501
2015,256,4.0,0.5,100.0,0.0,13.570072851291448,12.875644704732265,12.875644704732265,100.0,0.0,13.56684239960198,13.331156235019527,13.331156235019527
2016,256,4.0,0.5,100.0,0.012406431994073115,12.530352466393621,11.785801872734812,11.787423780241381,100.0,0.0,13.251876747467456,12.428231471130557,12.428231471130557
2017,255,4.0,0.5,100.0,0.02353389767183708,14.019485153711804,13.129588456624838,13.122985372926362,100.0,0.0,14.346190585690026,14.179694125410325,14.179694125410325
2018,256,4.0,0.25,100.0,0.0036498668092551445,13.764576428852777,13.143534867770487,13.143848073813848,100.0,0.0,14.493165675400503,13.464725326756577,13.464725326756577
2019,256,4.0,0.5,100.0,0.0023410548526220675,14.198477370032032,13.127867903893616,13.127455127518052,100.0,0.0,13.749664332941052,13.428630793941727,13.428630793941727
2020,256,4.0,0.5,100.0,0.0,13.649829144027228,12.770778106188361,12.770778106188361,100.0,0.0,13.64339179716895,12.849603289109746,12.849603289109746
2021,272,4.0,0.5,100.0,0.0,14.534669357524832,13.669180932043485,13.669180932043485,100.0,0.0,13.544354558183302,13.281559252454908,13.281559252454908
2022,271,4.0,0.5,100.0,0.0,11.698015609008523,11.432861938435233,11.432861938435233,100.0,0.0,13.642069176569443,13.227919707142078,13.227919707142078
2023,272,4.0,0.5,100.0,0.016500444070035997,14.221585789125637,13.078448964743957,13.07072109716981,100.0,0.0,13.562356066183465,13.130146049991891,13.130146049991891
2024,272,4.0,0.5,100.0,0.0,13.229017635540123,12.6051460079744,12.6051460079744,100.0,0.0,12.9513189773536,12.551548123403649,12.551548123403649
