season,rows,half_life,prior_strength,spread_ridge_alpha,spread_adjustment_weight,spread_market_rmse,spread_final_rmse,total_ridge_alpha,total_adjustment_weight,total_market_rmse,total_final_rmse
2017,255,1.0,0.5,0.1,0.0,13.122985372926362,13.122985372926362,100.0,0.27603577921231764,14.179694125410325,14.21892664231641
2018,256,1.0,0.75,100.0,0.0841629172757374,13.143848073813848,13.158804008802678,10.0,0.10274312700879133,13.464725326756577,13.438157842272085
2019,256,1.0,1.0,0.1,0.0,13.127455127518052,13.127455127518052,100.0,0.2412513713067106,13.428630793941727,13.479108494942182
2020,256,1.0,1.0,0.1,0.0,12.770778106188361,12.770778106188361,10.0,0.10594276606180034,12.849603289109746,12.848639817550414
2021,272,1.0,0.5,0.1,0.0,13.669180932043485,13.669180932043485,10.0,0.11037213392224421,13.281559252454908,13.281197916558392
2022,271,1.0,0.5,0.1,0.0,11.432861938435233,11.432861938435233,100.0,0.13357012438030644,13.227919707142078,13.222654928561006
2023,272,1.0,0.25,0.1,0.0,13.07072109716981,13.07072109716981,100.0,0.14692049219088374,13.130146049991891,13.120045539488597
2024,272,1.0,0.25,0.1,0.0,12.6051460079744,12.6051460079744,100.0,0.16683347613361052,12.551548123403649,12.573554966063583
2025,272,1.0,0.5,0.1,0.0,12.271177672521421,12.271177672521421,100.0,0.12510041991740614,13.18644580397525,13.190111639938111
