feature,spread_standardized_adjustment,total_standardized_adjustment
pass_epa_matchup_difference,-0.11643770338671726,0.15000977696998244
pass_epa_matchup_sum,0.1285221703081264,0.05610678077299537
rush_epa_matchup_difference,0.2869938850640497,-0.004896497339577953
rush_epa_matchup_sum,-0.12438038689049168,-0.07908139939259608
pass_success_matchup_difference,0.03654973384058125,-0.05376277632275942
pass_success_matchup_sum,-0.32679353735971545,-0.1555889431612681
rush_success_matchup_difference,-0.08525680031281921,-0.44470819079918705
rush_success_matchup_sum,0.08651189274248627,0.17999962050046192
neutral_rush_epa_matchup_difference,-0.27554500785322716,0.4160182330939313
neutral_rush_epa_matchup_sum,-0.13222507864758942,-0.36467830560937625
neutral_rush_success_matchup_difference,0.39058938423965883,-0.4895877566453469
neutral_rush_success_matchup_sum,0.2104806735757254,0.08075051265117955
sack_risk_difference,-0.01416840407991132,0.20115530159364767
sack_risk_sum,0.08933342735087925,-0.02475417481131361
qb_hit_risk_difference,-0.15171527930120338,-0.6640849347182937
qb_hit_risk_sum,-0.30907563474926897,-0.2837621825462645
off_snap_continuity_difference,0.5506746560036156,0.17475842240872716
off_snap_continuity_sum,-0.2980613168499634,0.09944211562441937
def_snap_continuity_difference,-0.08958655048002469,0.33888036264465393
def_snap_continuity_sum,0.08082342309307583,-0.32402553779077975
rest_difference,-0.14050788386422547,0.2574300221317506
