feature,spread_standardized_adjustment,total_standardized_adjustment
pass_epa_matchup_difference,-0.13893252829773148,0.15000977696998244
pass_epa_matchup_sum,0.170417781720353,0.05610678077299537
rush_epa_matchup_difference,0.3576168098956872,-0.004896497339577953
rush_epa_matchup_sum,-0.13809208565336809,-0.07908139939259608
pass_success_matchup_difference,0.046588688033481394,-0.05376277632275942
pass_success_matchup_sum,-0.36994839583071265,-0.1555889431612681
rush_success_matchup_difference,-0.1586349162534107,-0.44470819079918705
rush_success_matchup_sum,0.09628335450305554,0.17999962050046192
neutral_rush_epa_matchup_difference,-0.3575737448579474,0.4160182330939313
neutral_rush_epa_matchup_sum,-0.1408075151128104,-0.36467830560937625
neutral_rush_success_matchup_difference,0.4745319272211809,-0.4895877566453469
neutral_rush_success_matchup_sum,0.22717489237618887,0.08075051265117955
sack_risk_difference,-0.013459110654267002,0.20115530159364767
sack_risk_sum,0.10326674256841588,-0.02475417481131361
qb_hit_risk_difference,-0.15853864710692023,-0.6640849347182937
qb_hit_risk_sum,-0.3281430037783389,-0.2837621825462645
off_snap_continuity_difference,0.5682383635270002,0.17475842240872716
off_snap_continuity_sum,-0.31169632090830907,0.09944211562441937
def_snap_continuity_difference,-0.09388609530049691,0.33888036264465393
def_snap_continuity_sum,0.0881606077742059,-0.32402553779077975
rest_difference,-0.1476964507493861,0.2574300221317506
