season,rows,half_life,prior_strength,spread_ridge_alpha,spread_adjustment_weight,spread_market_rmse,spread_final_rmse,total_ridge_alpha,total_adjustment_weight,total_market_rmse,total_final_rmse
2017,255,1.0,1.0,100.0,0.05640244071471504,13.122985372926362,13.120101127688109,100.0,0.27019675827014594,14.179694125410325,14.222625978091521
2018,256,1.0,0.75,100.0,0.0841629172757374,13.143848073813848,13.158804008802678,100.0,0.12472203020644908,13.464725326756577,13.435524056341933
2019,256,1.0,1.0,100.0,0.0,13.127455127518052,13.127455127518052,100.0,0.2412513713067106,13.428630793941727,13.479108494942182
2020,256,1.0,1.0,100.0,0.0,12.770778106188361,12.770778106188361,100.0,0.12523595004923121,12.849603289109746,12.848694779523566
2021,272,1.0,0.25,100.0,0.0,13.669180932043485,13.669180932043485,100.0,0.13621336264068606,13.281559252454908,13.280156947787649
2022,271,1.0,0.25,100.0,0.0,11.432861938435233,11.432861938435233,100.0,0.13341868278162822,13.227919707142078,13.221202736395384
2023,272,1.0,0.25,100.0,0.0,13.07072109716981,13.07072109716981,100.0,0.14692049219088374,13.130146049991891,13.120045539488597
2024,272,1.0,0.25,100.0,0.0,12.6051460079744,12.6051460079744,100.0,0.16683347613361052,12.551548123403649,12.573554966063583
2025,272,1.0,0.75,100.0,0.0,12.271177672521421,12.271177672521421,100.0,0.12259434391432772,13.18644580397525,13.191839124890544
