model_version,created_at_utc,command,development_end_season,test_season,spec_hash,feature_hash,artifact_path,status,spread_alpha,total_alpha,spread_brier,spread_log_loss,spread_market_brier,spread_market_log_loss,total_brier,total_log_loss,total_market_brier,total_market_log_loss,notes,source,retrieved_at_utc,source_updated_at_utc,schema_version,content_hash
fixture-v1,2026-09-13T18:12:42.168656Z,train,2024,,MISSING,0aca4d25dd98d0e644bfe1a6b3e88037206d320d10d79b3f7828d629487c157c,/workspace/artifacts/models/fixture-v1/candidate.joblib,LOCKED_UNTESTED,0.018935402955021708,1.0,,,,,,,,,Hyperparameters and calibration locked before 2025 test.,local:chronological-training,2026-09-13T18:12:42.168656Z,,1.0.0,c326f5682028c8ba367ffe0aea8f809b564e6468b3e0c6ca57fe47c537386812
fixture-v1,2026-09-13T18:12:42.371724Z,test,2024,2025,MISSING,0aca4d25dd98d0e644bfe1a6b3e88037206d320d10d79b3f7828d629487c157c,/workspace/artifacts/models/fixture-v1/candidate.joblib,PASS_ONLY,0.018935402955021708,1.0,0.24401553687571026,0.680554471164333,0.00009802960494069223,0.009950330853168094,0.11255107160405578,0.5306326664907846,0.6115086756200374,2.882482229043759,Untouched test consumed once; PASS-only is the default on any gate failure.,local:untouched-test,2026-09-13T18:12:42.371724Z,,1.0.0,06c6e6fe28c2f39cad5f41a912bbcf3ab2d4df8b3ff37a8bfaa598cecf1b0e7f
